Date Ville Produit Prix 
2023-07-08 Rosso ProduitB 49.56
2023-08-26 Nouakchott ProduitA 38.43
2023-11-03 Kiffa ProduitC 66.97
2023-01-17 Nouakchott ProduitC 66.36
2023-08-25 Rosso ProduitB 49.27
2023-11-06 Nouadhibou ProduitA 80.09
2023-05-19 Nouakchott ProduitB 39.86
2023-06-15 Rosso ProduitB 80.80
2023-06-08 Nouadhibou ProduitC 13.07
2023-06-21 Nouadhibou ProduitB 68.79
2023-02-21 Nouakchott ProduitA 89.65
2023-01-02 Rosso ProduitA 25.41
2023-12-02 Nouakchott ProduitA 37.96
2023-02-26 Nouakchott ProduitB 48.23
2023-02-05 Kiffa ProduitB 50.46
2023-03-12 Nouakchott ProduitA 47.24
2023-04-16 Kiffa ProduitA 60.68
2023-11-16 Nouakchott ProduitC 65.67
2023-05-17 Rosso ProduitA 44.74
2023-01-24 Nouakchott ProduitB 32.82
2023-10-23 Kiffa ProduitA 22.75
2023-07-16 Nouakchott ProduitB 48.06
2023-12-15 Kiffa ProduitC 59.55
2023-11-03 Nouakchott ProduitA 44.07
2023-10-01 Nouakchott ProduitC 81.57
2023-05-06 Kiffa ProduitB 65.25
2023-05-14 Nouadhibou ProduitC 16.21
2023-02-05 Nouadhibou ProduitB 61.55
2023-02-14 Kiffa ProduitA 12.82
2023-02-15 Kiffa ProduitC 41.33
2023-06-13 Nouadhibou ProduitC 29.99
2023-06-05 Nouakchott ProduitA 87.22
2023-08-03 Nouadhibou ProduitB 32.07
2023-02-23 Nouakchott ProduitB 67.48
2023-01-22 Kiffa ProduitA 38.80
2023-04-15 Kiffa ProduitC 61.49
2023-10-04 Kiffa ProduitA 66.08
2023-11-03 Kiffa ProduitC 62.44
2023-02-07 Nouadhibou ProduitC 72.59
2023-08-12 Nouadhibou ProduitA 61.62
2023-01-02 Rosso ProduitA 16.33
2023-08-19 Nouakchott ProduitA 68.97
2023-09-03 Kiffa ProduitC 27.63
2023-12-06 Kiffa ProduitA 11.52
2023-05-13 Nouakchott ProduitC 70.53
2023-10-17 Kiffa ProduitA 67.32
2023-04-05 Rosso ProduitC 81.99
2023-10-23 Nouadhibou ProduitB 44.78
2023-02-18 Rosso ProduitA 49.59
2023-06-27 Rosso ProduitC 99.17
2023-03-23 Nouadhibou ProduitB 31.70
2023-08-05 Nouadhibou ProduitA 75.98
2023-05-21 Nouadhibou ProduitC 40.68
2023-07-28 Nouadhibou ProduitB 78.04
2023-09-07 Nouakchott ProduitA 78.87
2023-10-15 Nouakchott ProduitB 37.33
2023-10-07 Nouadhibou ProduitC 89.04
2023-08-23 Nouakchott ProduitA 34.64
2023-12-28 Nouadhibou ProduitC 46.06
2023-09-28 Nouadhibou ProduitB 10.47
2023-10-24 Rosso ProduitC 74.01
2023-11-17 Nouadhibou ProduitC 38.07
2023-05-12 Kiffa ProduitB 43.45
2023-06-10 Rosso ProduitA 45.49
2023-10-01 Rosso ProduitA 17.09
2023-01-09 Nouakchott ProduitC 46.51
2023-03-27 Nouadhibou ProduitB 57.85
2023-04-28 Nouakchott ProduitC 22.17
2023-05-09 Rosso ProduitB 12.41
2023-12-11 Nouakchott ProduitA 53.15
2023-11-26 Nouadhibou ProduitA 95.27
2023-08-20 Nouakchott ProduitA 20.38
2023-09-24 Nouakchott ProduitC 72.34
2023-11-28 Nouakchott ProduitC 16.07
2023-02-16 Nouakchott ProduitC 11.07
2023-11-28 Kiffa ProduitC 69.54
2023-02-18 Kiffa ProduitC 23.80
2023-07-18 Kiffa ProduitC 72.88
2023-11-07 Kiffa ProduitA 74.28
2023-09-16 Rosso ProduitB 59.35
2023-12-23 Rosso ProduitC 62.94
2023-05-01 Nouakchott ProduitA 33.61
2023-01-07 Rosso ProduitB 95.24
2023-11-25 Nouakchott ProduitC 76.40
2023-12-26 Nouakchott ProduitB 78.63
2023-05-03 Nouakchott ProduitB 47.98
2023-03-09 Kiffa ProduitC 98.16
2023-06-10 Nouakchott ProduitA 14.10
2023-07-08 Kiffa ProduitA 17.58
2023-07-10 Kiffa ProduitB 45.30
2023-05-28 Nouadhibou ProduitC 52.69
2023-01-06 Nouadhibou ProduitA 25.43
2023-12-16 Nouadhibou ProduitA 76.50
2023-12-13 Kiffa ProduitC 68.18
2023-08-02 Rosso ProduitC 71.02
2023-05-15 Nouadhibou ProduitA 80.86
2023-04-09 Kiffa ProduitA 69.00
2023-05-27 Rosso ProduitB 43.36
2023-09-02 Rosso ProduitB 69.81
2023-07-03 Kiffa ProduitA 66.16
